"date","skater_id","skater_type","gender","session","training_type","ice_start","ice_duration","ice_distance","ice_nr_laps","ice_fastest_lap","HR_start","HR_duration","HR_max_overall","HR_z0_min","HR_z1_min","HR_z2_min","HR_z3_min","HR_z4_min","HR_z5_min"
2018-12-07,15,"Sprint","M",1,"Intensive interval","17:45:49",27,8.67347500000001,23,28.105,"17:45:49",28,197.692999999999,0,2.28333333333333,12.45,9.01666666666667,3.18333333333333,0.716666666666667
2018-12-11,4,"Allround","M",1,"Extensive interval","17:45:55",37,11.772915,31,34.442,"17:45:55",37,195,11.4666666666667,10.3833333333333,8.06666666666667,6.53333333333333,1.01666666666667,0
2018-12-11,5,"Sprint","F",1,"Extensive interval","17:45:27",36,13.17262,34,34.276,"17:45:27",36,193,0,1.16666666666667,9.33333333333333,5.48333333333333,10.6333333333333,9.71666666666667
2018-12-11,6,"Sprint","F",1,"Extensive interval","17:45:56",34,11.053305,29,34.457,"17:45:56",35,197,0.0166666666666667,3.53333333333333,13.4,10.05,7.66666666666667,0
2018-12-11,7,"Allround","M",1,"Extensive interval","17:45:55",37,11.772915,31,34.412,"17:45:55",37,191,0,5.46666666666667,13.7666666666667,6.68333333333333,8.63333333333333,2.91666666666667
2018-12-11,8,"Allround","F",1,"Extensive interval","17:46:03",33,12.646675,33,33.066,"17:46:03",33,208,0,2.48333333333333,12.05,3.65,5.83333333333333,9.38333333333333
2018-12-11,9,"Allround","M",1,"Extensive interval","17:46:16",55,23.395815,61,32.785,"17:46:16",55,212,0,15.8166666666667,11.6833333333333,21.9166666666667,5.71666666666667,0
2018-12-11,10,"Allround","M",1,"Extensive interval","17:45:55",33,10.610625,28,34.503,"17:45:55",33,223,1.43333333333333,13.5,6.01666666666667,9.5,2.98333333333333,0
2018-12-11,12,"Sprint","M",1,"Extensive interval","17:45:54",39,12.01033,31,34.4,"17:45:54",39,199,1.11666666666667,16.8,7.06666666666667,8.63333333333333,5.23333333333333,0.233333333333333
2018-12-11,13,"Sprint","F",1,"Extensive interval","17:45:56",38,12.160345,32,34.515,"17:45:56",38,193,0,0.0666666666666667,9.35,11.5666666666667,8.2,9.13333333333333
2018-12-11,16,"Allround","F",1,"Extensive interval","17:46:16",39,16.4220749999999,43,32.67,"17:46:16",39,196,5.88333333333333,14.3,8.95,5.48333333333333,3.1,1.51666666666667
2018-12-18,15,"Sprint","M",1,"Extensive interval","17:44:24",33,9.98578,27,30.922,"17:44:24",34,197.692999999999,0,3.88333333333333,11.9166666666667,5.95,8.05,3.98333333333333
2018-12-25,2,"Sprint","F",1,"Extensive interval","10:32:23",36,11.23547,29,29.977,"10:32:23",36,188,0,1.13333333333333,14.1666666666667,6.05,11.85,3.13333333333333
2018-12-25,5,"Sprint","F",1,"Extensive interval","10:32:37",37,11.29067,30,31.257,"10:32:37",37,193,0,0.0166666666666667,14.3833333333333,6.36666666666667,8.48333333333333,7.83333333333333
2018-12-25,13,"Sprint","F",1,"Extensive interval","10:32:23",39,11.772915,31,30.223,"10:32:23",40,193,0,0,3.33333333333333,17.2,7.31666666666667,12
2018-12-25,16,"Allround","F",1,"Extensive interval","10:32:23",69,20.83382,55,29.957,"10:32:23",70,196,0.733333333333333,21.3333333333333,16.1333333333333,8.61666666666667,14.9333333333333,7.86666666666667
2019-01-03,6,"Sprint","F",1,"Extensive interval","17:45:33",56,16.0346449999999,42,32.362,"17:45:33",57,197,0,6.25,25.6333333333333,15.0333333333333,9.93333333333333,0
2019-01-03,16,"Allround","F",1,"Extensive interval","17:45:32",57,17.1969349999999,45,32.387,"17:45:32",57,196,0.966666666666667,11.2,22.1333333333333,9.23333333333333,11.2833333333333,2.53333333333333
2019-01-11,16,"Allround","F",1,"Extensive interval","17:51:40",48,13.17262,34,30.462,"17:51:40",48,196,3.56666666666667,12.1166666666667,14.0166666666667,8.66666666666667,9.05,0.55
2019-01-22,3,"Allround","F",1,"Intensive interval","08:15:37",43,9.492145,25,31.858,"08:24:38",35,214,0.283333333333333,11.2833333333333,7.3,10.7333333333333,5.15,0.166666666666667
2019-01-22,12,"Sprint","M",1,"Intensive interval","08:16:14",42,9.879355,26,32.957,"08:16:14",43,199,2.2,24.6666666666667,4.61666666666667,7.31666666666667,4.23333333333333,0.2
2019-01-22,13,"Sprint","F",1,"Intensive interval","08:16:14",39,9.491925,25,33.243,"08:16:14",40,193,0,0.0333333333333333,15.85,11.7833333333333,7.45,4.65
2019-01-28,3,"Allround","F",1,"Extensive interval","09:17:20",39,13.1726199999999,34,29.687,"09:17:20",40,214,0,0.2,16.3666666666667,8,12.6666666666667,2.31666666666667
2019-01-28,6,"Sprint","F",1,"Extensive interval","09:18:13",39,11.263225,29,30.126,"09:18:13",39,197,0.0333333333333333,2.88333333333333,18,12.95,4.96666666666667,0.45
2019-01-28,10,"Allround","M",1,"Extensive interval","09:17:19",35,10.07318,26,30.765,"09:17:19",35,223,0.333333333333333,14.95,7.2,6.86666666666667,6.11666666666667,0
2019-01-28,16,"Allround","F",1,"Extensive interval","09:18:13",31,12.40931,32,29.897,"09:18:13",31,196,0.733333333333333,5.76666666666667,8.31666666666667,2.26666666666667,5.26666666666667,9.06666666666667
2019-02-12,4,"Allround","M",1,"Extensive interval","17:48:31",46,14.7221199999999,39,31.158,"17:48:31",46,195,5.21666666666667,16.2,9.46666666666667,11.1166666666667,3.76666666666667,0.35
2019-02-12,6,"Sprint","F",1,"Extensive interval","17:48:04",47,14.7223399999999,38,30.184,"17:48:04",48,197,0,3.78333333333333,21.4666666666667,18.3,4.86666666666667,0
2019-02-12,10,"Allround","M",1,"Extensive interval","17:48:05",41,13.5600499999999,35,29.936,"17:48:05",41,223,0.95,15.2666666666667,8.48333333333333,11.9166666666667,4.85,0
2019-02-12,15,"Sprint","M",1,"Extensive interval","17:48:05",46,14.7223399999999,38,29.908,"17:48:05",47,197.692999999999,0,3.6,16.85,14.8333333333333,10.6166666666667,0.65
2019-02-12,16,"Allround","F",1,"Extensive interval","17:48:05",46,14.7223399999999,38,31.944,"17:48:05",47,196,0.166666666666667,2.98333333333333,16.1,10.85,13.95,2.51666666666667
2019-02-26,6,"Sprint","F",1,"Extensive interval","17:52:11",20,5.03659000000001,13,31.053,"17:52:11",20,197,0,0.0666666666666667,11.0833333333333,5.9,2.6,0.666666666666667
2019-02-26,10,"Allround","M",1,"Extensive interval","17:52:10",48,16.2720599999999,42,29.888,"17:52:10",49,223,1.18333333333333,18.8666666666667,8.23333333333333,4.85,13.4333333333333,2.01666666666667
2019-02-26,13,"Sprint","F",1,"Extensive interval","17:51:17",41,12.203935,32,33.336,"17:51:17",41,193,0,0,12.9333333333333,13.0166666666667,7.25,7.83333333333333
2019-02-26,15,"Sprint","M",1,"Extensive interval","17:52:10",47,12.78519,33,32.687,"17:52:10",48,197.692999999999,0.4,18.4333333333333,12.7833333333333,12.3333333333333,3.61666666666667,0
2019-02-26,16,"Allround","F",1,"Extensive interval","17:52:12",45,12.50852,33,32.487,"17:52:12",46,196,3.08333333333333,16.65,11.2333333333333,5.28333333333333,9.08333333333333,0.216666666666667
2019-10-03,4,"Allround","M",1,"Extensive interval","17:14:47",89,29.4446800000002,76,27.567,"17:14:47",89,195,0.866666666666667,15.65,18.2,21.3833333333333,12.2333333333333,2.53333333333333
2019-10-03,17,"Allround","F",1,"Extensive interval","17:14:47",84,26.3452400000001,68,31.39,"17:14:47",84,197,0.8,0.0333333333333333,7.55,21.7166666666667,21.25,14.8
2019-10-03,18,"Allround","M",1,"Extensive interval","17:14:47",42,17.1021699999999,45,33.26,"17:14:47",43,197,0,3.91666666666667,12.8,14.4166666666667,11.4166666666667,0.15
2019-10-03,19,"Allround","M",1,"Extensive interval","17:14:48",89,28.6698200000002,74,27.593,"17:14:48",89,193,1.3,13.1666666666667,20.15,17.5833333333333,10.3333333333333,8.26666666666667
2019-10-03,21,"Allround","F",1,"Extensive interval","17:14:47",91,25.5703800000001,66,31.403,"17:14:47",89,195,0.8,2.93333333333333,17.2166666666667,15.65,16.9333333333333,17.2833333333333
2019-10-11,4,"Allround","M",1,"Extensive interval","17:15:35",53,13.17262,34,28.41,"17:15:35",53,195,1.95,16.5333333333333,9.65,8.6,5.55,2.7
2019-10-11,17,"Allround","F",1,"Extensive interval","17:15:36",71,21.30865,55,31.763,"17:15:36",71,197,0.133333333333333,0.833333333333333,10.6833333333333,18.6666666666667,20.6166666666667,12.2
2019-10-11,18,"Allround","M",1,"Extensive interval","17:15:35",89,29.8321100000002,79,28.446,"17:15:35",89,197,0.266666666666667,4.7,27.1333333333333,21.2333333333333,22.5333333333333,5.46666666666667
2019-10-11,20,"Allround","F",1,"Extensive interval","17:15:35",75,23.63323,63,31.73,"17:15:35",75,230,27.9166666666667,12.1666666666667,8.11666666666667,16.1666666666667,2.86666666666667,0
2019-10-11,21,"Allround","F",1,"Extensive interval","17:15:36",85,23.63323,63,30.287,"17:15:36",85,195,0.15,0.85,24.6833333333333,19.7333333333333,20.3666666666667,11.0833333333333
2019-10-24,3,"Allround","F",1,"Extensive interval","17:15:16",41,14.2796599999999,37,30.28,"17:15:16",39,214,0,2.48333333333333,11.2666666666667,12.3333333333333,13,0
2019-10-24,6,"Sprint","F",1,"Extensive interval","17:15:16",71,19.31625,50,30.273,"17:15:16",72,197,0.45,4.83333333333333,21.0833333333333,17.3,14.5666666666667,0.416666666666667
2019-10-24,17,"Allround","F",1,"Extensive interval","17:15:11",71,18.98407,49,29.95,"17:15:11",71,197,0.45,6.51666666666667,11.2666666666667,14.45,14.3,11.1833333333333
2019-10-24,21,"Allround","F",1,"Extensive interval","17:15:12",75,22.08351,57,29.144,"17:15:12",75,195,0.433333333333333,1.83333333333333,19.0833333333333,16.1833333333333,14.8666666666667,9.96666666666667
2019-10-28,4,"Allround","M",1,"Extensive interval","08:53:39",76,23.2458,60,29.003,"09:47:41",23,195,5.21666666666667,6.88333333333333,2.45,4.3,3.95,0
2019-10-28,6,"Sprint","F",1,"Extensive interval","08:04:28",66,17.3790999999999,45,33.44,"08:04:28",66,197,0.416666666666667,16.5333333333333,18.9333333333333,16.7666666666667,13.3,0
2019-10-28,20,"Allround","F",1,"Extensive interval","08:02:04",90,26.4004900000001,69,31.777,"08:02:04",90,230,23.55,30.7666666666667,12.5,15.15,8.53333333333333,0
2019-10-31,18,"Allround","M",1,"Intensive interval","17:14:54",82,19.75893,51,27.687,"17:14:54",82,197,0.2,13.9333333333333,30.6833333333333,18.7333333333333,12.5166666666667,6.16666666666667
2019-10-31,19,"Allround","M",1,"Intensive interval","18:06:12",30,8.91089000000001,23,27.69,"18:06:12",30,193,0.05,1.66666666666667,14.0333333333333,4.25,5.23333333333333,4.56666666666667
2019-10-31,20,"Allround","F",2,"Intensive interval","17:14:55",40,12.39776,33,29.603,"17:14:55",41,230,8.61666666666667,15.2666666666667,9.23333333333333,4.98333333333333,2.55,0
2019-10-31,21,"Allround","F",1,"Intensive interval","17:14:56",42,12.01033,32,29.103,"17:14:56",42,195,0,2,10.0666666666667,14.6333333333333,10.3833333333333,4.78333333333333
2019-11-05,4,"Allround","M",1,"Extensive interval","08:56:11",72,25.1829500000001,65,29.157,"08:56:11",72,195,10.55,20.0666666666667,9.83333333333333,20.05,11.15,0.316666666666667
2019-11-05,19,"Allround","M",1,"Extensive interval","08:56:12",72,25.1829500000001,67,29.347,"08:56:12",72,193,2.86666666666667,16.1833333333333,14.4833333333333,8.13333333333333,18.65,11.6333333333333
2019-11-14,16,"Allround","F",1,"Extensive interval","17:16:59",88,24.4080900000001,63,30.9,"17:17:14",88,196,4.7,46.3,52.4,21.6,32.9666666666667,14.8666666666667
2019-11-14,17,"Allround","F",1,"Extensive interval","17:17:01",88,24.0206600000001,62,30.893,"17:17:01",88,197,0.25,10.7,21,23.4166666666667,23.9333333333333,9.16666666666667
2019-11-14,18,"Allround","M",1,"Extensive interval","17:17:02",88,24.4080900000001,65,29.004,"17:17:02",89,197,0.0333333333333333,5.95,28.9333333333333,17.2833333333333,20.5833333333333,3
2019-11-14,20,"Allround","F",1,"Extensive interval","17:16:59",87,24.7955200000001,64,30.863,"17:16:59",88,230,41.3666666666667,17.4166666666667,10.2833333333333,18.2166666666667,0.316666666666667,0
2019-11-14,21,"Allround","F",1,"Extensive interval","17:17:02",88,22.85837,59,30.893,"17:17:02",88,195,0,7.71666666666667,30.65,22.1166666666667,19.6333333333333,8.28333333333333
2019-11-22,17,"Allround","F",1,"Intensive interval","17:15:36",42,10.46061,29,30.18,"17:15:36",42,197,0,0.516666666666667,15.8166666666667,14.0833333333333,8.81666666666667,2.51666666666667
2019-11-22,18,"Allround","M",1,"Intensive interval","17:15:35",40,10.84804,31,30.457,"17:15:35",41,197,0.266666666666667,4.43333333333333,15.15,13.2833333333333,6.66666666666667,0.9
2019-11-22,19,"Allround","M",1,"Intensive interval","17:15:35",65,17.4343499999999,45,29.67,"17:15:35",66,193,9.76666666666667,21.4166666666667,12.3833333333333,8.7,8.58333333333333,4.7
2019-11-22,20,"Allround","F",1,"Intensive interval","17:15:37",68,15.4971999999999,40,31.67,"17:15:37",69,230,43.1333333333333,7.31666666666667,6.26666666666667,10.9833333333333,0.95,0.166666666666667
2019-11-22,21,"Allround","F",1,"Intensive interval","17:15:37",66,15.8846299999999,41,31.274,"17:15:37",67,195,0,14.1666666666667,21.2333333333333,13.2666666666667,14.5166666666667,3.95
2019-11-29,3,"Allround","F",1,"Extensive interval","09:45:57",93,15.8293799999999,41,28.19,"09:45:57",93,214,0.866666666666667,22.9666666666667,43.05,12.1166666666667,13.0833333333333,0.95
2019-11-29,4,"Allround","M",1,"Extensive interval","17:12:40",69,22.85837,59,30.913,"17:12:40",70,195,8.98333333333333,22.8166666666667,10.3833333333333,13.2166666666667,9.38333333333333,4.91666666666667
2019-11-29,17,"Allround","F",1,"Extensive interval","17:12:42",67,15.4971999999999,42,31.123,"17:12:42",68,197,0.383333333333333,7.21666666666667,24.25,14.75,16.8333333333333,4.1
2019-11-29,18,"Allround","M",1,"Extensive interval","17:12:41",75,17.0469199999999,46,30.393,"17:12:41",75,197,2.68333333333333,13.3,32.7,17.4,7.71666666666667,0
2019-11-29,20,"Allround","F",1,"Extensive interval","17:15:31",58,17.8217799999999,48,33.533,"17:15:44",58,230,38.6333333333333,17.6666666666667,20.6666666666667,20.1,5.06666666666667,0
2019-11-29,21,"Allround","F",1,"Extensive interval","17:15:31",67,17.8217799999999,46,35.234,"17:15:31",68,195,0.466666666666667,13.1333333333333,18.05,11,18.35,6.63333333333333
2019-12-03,18,"Allround","M",1,"Extensive interval","17:15:37",32,10.01793,26,33.82,"17:15:37",33,197,0,0,11.2833333333333,10.45,9.46666666666667,1.63333333333333
2019-12-10,6,"Sprint","F",1,"Extensive interval","17:16:46",36,11.56765,30,32.547,"17:16:46",37,197,0,2.15,16.3833333333333,11.4333333333333,6.58333333333333,0
2019-12-10,10,"Allround","M",1,"Extensive interval","17:16:38",38,12.01033,32,32.79,"17:16:38",39,223,0.133333333333333,17.85,7.83333333333333,8.3,4.51666666666667,0
2019-12-10,17,"Allround","F",1,"Extensive interval","17:16:39",41,12.78519,33,32.55,"17:16:39",41,197,0,0,2.15,19.3333333333333,11.85,7.85
2019-12-10,19,"Allround","M",1,"Extensive interval","17:16:38",39,13.94748,36,32.097,"17:16:38",39,193,0,0.416666666666667,16.6666666666667,6.35,5.41666666666667,10.0166666666667
2019-12-10,20,"Allround","F",1,"Extensive interval","17:50:51",4,2.32458,7,31.30689,"17:50:51",5,230,0.216666666666667,1,0.933333333333333,2.45,0.166666666666667,0
2019-12-10,21,"Allround","F",1,"Extensive interval","17:16:40",38,13.9474799999999,37,31.09,"17:16:40",39,195,6.9,4.13333333333333,12.2,10.2666666666667,4.7,0.666666666666667
2019-12-13,16,"Allround","F",1,"Intensive interval","15:33:10",77,20.14636,54,29.733,"15:33:10",78,196,4.13333333333333,32.5166666666667,16.9166666666667,7.96666666666667,10.8833333333333,5.56666666666667
2019-12-18,20,"Allround","F",1,"Intensive interval","09:50:11",82,24.7402700000001,64,32.9,"09:50:11",83,230,25.0333333333333,27.1833333333333,6.66666666666667,16.1333333333333,6.93333333333333,0.683333333333333
2019-12-19,16,"Allround","F",1,"Extensive interval","17:13:46",84,23.2458,60,29.257,"17:13:46",84,196,2.4,27.6833333333333,19.9666666666667,11.85,14.4,7.8
2019-12-19,17,"Allround","F",1,"Extensive interval","17:13:51",74,17.0469199999999,46,33.443,"17:13:51",75,197,2.53333333333333,10.6,22.8833333333333,14.6666666666667,18.1333333333333,6.26666666666667
2019-12-19,20,"Allround","F",1,"Extensive interval","17:13:49",77,22.85837,59,31.1,"17:13:49",77,230,34.9166666666667,15.6666666666667,12.7833333333333,10.2,3.48333333333333,0
2019-12-23,3,"Allround","F",1,"Extensive interval","08:55:49",36,12.01033,31,31.317,"08:55:49",36,214,0,6.4,12.6,9.66666666666667,7.85,0
2019-12-23,16,"Allround","F",1,"Extensive interval","09:47:52",68,20.14636,54,29.804,"09:47:52",69,196,4.58333333333333,25.4,10.9333333333333,6.23333333333333,16.2666666666667,5.25
2020-01-02,17,"Allround","F",1,"Intensive interval","17:16:41",73,18.2092099999999,47,33.413,"17:16:41",73,197,0.0333333333333333,4.56666666666667,12.2666666666667,25.9166666666667,20.1666666666667,10.4
2020-01-21,17,"Allround","F",1,"Extensive interval","17:16:06",88,22.47094,58,33.37,"17:16:20",88,197,0.0166666666666667,11.1833333333333,29.3666666666667,20.4166666666667,24.6333333333333,2.33333333333333
2020-01-21,20,"Allround","F",1,"Extensive interval","17:16:05",91,23.2458,60,33.557,"17:16:20",91,230,40.3166666666667,12.6833333333333,13.4833333333333,13.1166666666667,5.55,3.51666666666667
2020-01-23,4,"Allround","M",1,"Extensive interval","17:16:03",67,20.53379,53,30.976,"17:16:04",68,195,9.61666666666667,18.1666666666667,14.5666666666667,16.0333333333333,8.78333333333333,0.383333333333333
2020-01-23,6,"Sprint","F",1,"Extensive interval","17:16:09",76,18.1539599999999,48,31.457,"17:16:09",76,197,0.9,10.7,29.9,25.3,9.11666666666667,0
2020-01-23,10,"Allround","M",1,"Extensive interval","17:15:59",71,20.53379,53,31.166,"17:16:04",71,223,8.18333333333333,19.5833333333333,12.9166666666667,15.4333333333333,14.4333333333333,0.766666666666667
2020-01-23,16,"Allround","F",1,"Extensive interval","17:16:00",39,14.3349099999999,38,29.183,"17:16:03",40,196,0.616666666666667,7.8,6.78333333333333,9.55,11.1333333333333,3.91666666666667
2020-01-23,17,"Allround","F",2,"Extensive interval","17:16:04",41,13.17262,35,29.886,"17:16:04",42,197,0,0.316666666666667,14.4333333333333,6.95,14.7166666666667,5.23333333333333
2020-01-23,19,"Allround","M",1,"Extensive interval","18:08:58",14,5.42402000000001,14,30.95,"18:08:58",14,193,0,2.75,4.76666666666667,1.96666666666667,2.3,2.68333333333333
2020-01-23,20,"Allround","F",1,"Extensive interval","17:16:05",81,22.85837,59,32.717,"17:16:39",81,230,34.9833333333333,15.0333333333333,12.1833333333333,10.65,1.76666666666667,0.6
2020-01-23,21,"Allround","F",1,"Extensive interval","17:16:04",76,20.92122,54,31.3,"17:16:04",76,195,0,8.13333333333333,24.1833333333333,12.3166666666667,19.9166666666667,11.9333333333333
2020-01-28,3,"Allround","F",1,"Extensive interval","17:13:52",44,18.59664,49,30.777,"17:13:52",45,214,0.0166666666666667,0.7,13.8833333333333,12.9,16.25,1.41666666666667
2020-01-28,4,"Allround","M",1,"Extensive interval","17:13:52",35,12.01033,31,31.407,"17:13:52",35,195,1.35,16.4166666666667,8.4,7.5,1.76666666666667,0
2020-01-28,6,"Sprint","F",1,"Extensive interval","17:13:53",33,11.67815,31,31.13,"17:13:53",33,197,0.2,0.583333333333333,12.7166666666667,14.9833333333333,4.81666666666667,0.0833333333333333
2020-01-28,16,"Allround","F",1,"Extensive interval","17:13:53",44,18.59664,48,31.287,"17:13:53",44,196,4.7,8.2,10.0333333333333,5.35,8.88333333333333,7.15
2020-01-28,17,"Allround","F",1,"Extensive interval","17:13:54",36,12.01033,31,31.037,"17:13:54",36,197,0,0.133333333333333,4.13333333333333,15.05,11.6666666666667,5.56666666666667
2020-01-28,19,"Allround","M",1,"Extensive interval","17:13:51",35,12.01033,31,31.15,"17:13:51",35,193,0.05,8.55,12.9333333333333,5.08333333333333,5.45,3.33333333333333
2020-01-28,21,"Allround","F",1,"Extensive interval","17:13:54",36,12.01033,31,31.044,"17:13:54",37,195,0,0.0833333333333333,14.05,8.15,9.45,4.81666666666667
2020-01-31,16,"Allround","F",1,"Extensive interval","17:17:17",40,13.17262,34,30.24,"17:17:17",40,196,3.06666666666667,12.8333333333333,6.18333333333333,4.61666666666667,8.1,5.48333333333333
2020-02-06,4,"Allround","M",1,"Extensive interval","09:47:37",69,21.30865,55,28.85,"09:47:37",69,195,12.8833333333333,18.55,12.5333333333333,17.9,6.3,1.01666666666667
2020-02-06,16,"Allround","F",1,"Intensive interval","08:51:32",37,12.01033,31,31.246,"08:53:17",35,196,1.78333333333333,10.2666666666667,9.73333333333333,4.88333333333333,6.45,2.03333333333333
2020-02-06,17,"Allround","F",1,"Intensive interval","08:51:39",40,11.95508,31,34.376,"08:57:27",35,197,0.25,0.1,9.4,9.98333333333333,8.88333333333333,6.3
2020-02-06,19,"Allround","M",1,"Intensive interval","09:08:12",21,6.91849000000001,18,31.34,"09:08:12",22,193,0,0,6.31666666666667,7.03333333333333,4.21666666666667,4.2
2020-02-06,20,"Allround","F",1,"Extensive interval","08:51:34",33,10.07318,26,31.207,"08:53:20",31,230,5.71666666666667,11.6333333333333,4.05,6,3.01666666666667,0
